"part","plantLoc","period","supply","wfmv"
*----------------------------------------
* part - loose part name
* plantLoc - location
* period - 1 is first period
* supply - available part in period
* wfmv - wholesale fair market value in period
*-----------------------------------------
"1234567","SIP",1,0,0.01
"1234567","SIP",2,0,0.01
"1234567","SIP",3,0,0.01
"1234567","SIP",4,0,0.01
"1234567","SIP",5,0,0.01
"1234567","SIP",6,0,0.01
"1234567","SIP",7,0,0.01

*
"1234568","GIP",1,0,0.01
"1234568","GIP",2,0,0.01
"1234568","GIP",3,0,0.01
"1234568","GIP",4,0,0.01
"1234568","GIP",5,0,0.01
"1234568","GIP",6,0,0.01
"1234568","GIP",7,0,0.01
*
"1234569","GMP",1,0,0.01
"1234569","GMP",2,0,0.01
"1234569","GMP",3,0,0.01
"1234569","GMP",4,0,0.01
"1234569","GMP",5,0,0.01
"1234569","GMP",6,0,0.01
"1234569","GMP",7,0,0.01

